qid	pid	score
88739	895992	8.64693832397461
336922	5183781	8.774639129638672
564843	6185901	9.384530067443848
321260	702590	9.067811965942383
166033	1371104	8.65730094909668
11015	3956496	8.767651557922363
1174266	4197281	8.331072807312012
114826	1511140	8.862797737121582
311367	6152924	8.972688674926758
1038360	2483142	9.216114044189453
177226	6000848	8.836189270019531
22213	6914855	9.00204849243164
338046	1066613	9.53029727935791
27930	6776317	9.2655029296875
746197	914162	8.840791702270508
1032113	3162162	8.878060340881348
160231	3316566	8.84266471862793
421619	5927677	8.881942749023438
240884	5313531	9.03069019317627
628814	2075577	9.536113739013672
190239	3475003	8.58128547668457
944122	427360	8.552886009216309
1054007	4467777	8.792713165283203
229585	3433726	9.42625617980957
984394	3595045	8.889322280883789
1044969	3192916	8.753263473510742
548269	1123695	8.247589111328125
1057013	4791936	8.797257423400879
85017	6488599	8.991482734680176
437707	2340793	8.950183868408203
558731	859708	9.126701354980469
345390	245103	9.359724998474121
481795	7063683	9.348812103271484
571882	6975531	9.581003189086914
405538	2187420	9.26363468170166
68778	2946781	8.770295143127441
409115	1691331	8.946072578430176
886816	3494575	8.587886810302734
868943	2552977	9.56313705444336
1035130	3934372	9.17017936706543
894276	2697546	9.037493705749512
74757	5805977	8.707765579223633
549227	619908	8.793471336364746
1154089	1195805	8.910823822021484
946702	2538773	9.284863471984863
1078871	2843357	8.897750854492188
899376	4871622	9.344963073730469
249053	4340442	8.887171745300293
321437	5771601	9.511159896850586
528303	153997	8.550559997558594
938198	2780662	8.738761901855469
763328	3013970	7.988846778869629
308055	331711	9.152888298034668
214564	3870904	8.684687614440918
51206	423663	8.705480575561523
147358	2757789	9.241929054260254
952844	3040871	8.72508716583252
1031293	3795711	8.9336576461792
261578	6468087	9.449264526367188
400296	1540783	9.054186820983887
757408	5111756	9.198243141174316
641779	429138	9.200170516967773
762810	4826941	8.701210021972656
1048139	4481473	8.65970230102539
689932	4795300	9.451929092407227
573596	2805736	8.514307975769043
785992	4395784	8.515579223632812
310395	5483798	8.456249237060547
922110	2594319	8.791555404663086
229052	2303789	9.275279998779297
550949	294817	8.977973937988281
277057	983357	9.006019592285156
1034770	4014076	8.853471755981445
934182	4897869	8.996135711669922
629714	1043086	8.879524230957031
225471	2252133	9.352941513061523
503302	3055257	9.764012336730957
506681	6802094	9.013080596923828
942573	4678197	8.700782775878906
938432	4616996	9.21027660369873
362040	1639654	9.352295875549316
770830	4835498	8.553736686706543
1047729	4330267	8.613262176513672
108086	1213294	8.644582748413086
303767	3110787	9.118066787719727
447922	1571665	9.176994323730469
880495	2422130	8.97665023803711
1185545	1280491	9.141279220581055
765844	4698861	8.73035717010498
936536	6096255	9.39059066772461
302588	4087057	8.855659484863281
956207	1223243	8.972497940063477
1034258	4692247	9.168848037719727
403538	3068865	9.102779388427734
985308	4466712	9.122140884399414
668658	699797	8.631369590759277
585444	1061528	9.27049732208252
668424	719727	8.865528106689453
201442	6623377	8.046720504760742
1047724	3306389	8.820062637329102
304412	6845891	8.732050895690918
909620	2715015	8.681554794311523
945484	3235120	9.154204368591309
637240	977763	9.294586181640625
842278	5120782	9.513998031616211
30792	5268440	9.099437713623047
692864	700658	9.452901840209961
1034727	5229830	9.03444766998291
479537	2313	8.786260604858398
873068	3079858	9.203780174255371
756606	1952210	9.323841094970703
423489	6848053	8.481971740722656
1030536	4090870	9.222569465637207
860988	2671124	8.897972106933594
957244	2405151	9.089593887329102
468677	602335	8.958046913146973
1047741	4841982	9.0400390625
471253	1936490	8.92110538482666
300991	5861994	8.911779403686523
653191	5396757	8.933238983154297
84991	5156976	9.068328857421875
1009689	5181243	9.96722412109375
619430	6923984	8.297001838684082
249368	5691853	9.131535530090332
1023857	5140180	8.939279556274414
422988	3442183	8.458494186401367
951237	688590	9.368982315063477
1030551	4614015	8.943838119506836
926801	3600371	9.030479431152344
1059556	6115364	9.084699630737305
769804	4822866	8.98475170135498
23759	6867533	9.148031234741211
445979	1468732	9.07852554321289
1033823	4355443	8.980566024780273
935698	3350544	9.240449905395508
475203	1474458	8.75503158569336
986504	6130417	8.821476936340332
624510	161432	9.258735656738281
830683	4994783	9.440000534057617
1138039	2728350	8.927750587463379
1048319	4942994	9.057350158691406
1031890	5269520	8.342930793762207
506245	2539345	8.866997718811035
306149	865750	8.82213306427002
807511	6144608	9.009859085083008
180393	4090227	8.878177642822266
505197	434304	8.527851104736328
1053993	3373745	9.1181058883667
186300	668724	8.955730438232422
449174	6807570	8.625265121459961
729582	690262	9.093338012695312
250704	5302494	9.063028335571289
391279	1756387	8.59640884399414
14010	5595910	8.987439155578613
95418	5787865	9.406439781188965
367083	3755001	9.565723419189453
946044	2836457	9.326690673828125
336061	1044919	9.441315650939941
387256	6992381	9.187949180603027
513483	6671008	9.056981086730957
227856	3272584	9.413440704345703
457972	690938	9.071423530578613
1040186	2687609	8.870250701904297
128138	4189833	9.531970977783203
418300	5770103	8.717679023742676
578729	537847	9.661195755004883
310654	1416708	9.891083717346191
335033	778802	9.10920524597168
489970	5544245	8.084857940673828
721851	1690259	8.989005088806152
435876	598243	9.126720428466797
58133	748932	9.198490142822266
1061764	6126405	8.66456413269043
790922	2318719	8.91434097290039
847625	2559906	8.658609390258789
710321	6203848	9.392724990844727
509204	3129402	9.024330139160156
582687	6072829	8.876182556152344
927343	3235120	9.201251983642578
506345	2715454	8.855568885803223
991599	3292310	9.076126098632812
46399	5770111	9.08601188659668
334577	1852668	9.497276306152344
214488	6324046	9.275198936462402
961264	3490626	8.973856925964355
87992	2675838	9.901098251342773
868255	4961910	9.340353965759277
26497	3142142	8.96654987335205
640977	1439521	9.418408393859863
917484	3713982	8.900198936462402
789380	2501558	9.616166114807129
652058	5922838	9.270277976989746
1155398	1076866	8.675853729248047
869441	3470423	8.719582557678223
630689	2132501	9.202052116394043
1033309	3286721	8.859518051147461
1040582	6093872	9.308603286743164
1049752	5363246	9.150943756103516
943936	1598246	8.792638778686523
16146	8483343	9.47960376739502
1016507	4733913	8.342446327209473
509171	5229501	8.906237602233887
1047710	2349617	9.037940979003906
743352	868005	8.416889190673828
693506	973526	9.14965534210205
87681	4085589	9.035944938659668
497286	8272235	9.189726829528809
946519	4649152	8.987276077270508
205385	1484361	9.241374969482422
251696	4049613	9.071913719177246
212752	6441421	9.348493576049805
1041898	3990094	8.96689224243164
76009	170825	9.195679664611816
1064342	3439334	9.316994667053223
214024	4923405	8.743805885314941
508853	6755808	8.715627670288086
734070	1376836	9.353438377380371
1029672	4562365	8.858428001403809
991897	5076912	9.093561172485352
229068	316270	9.114307403564453
334861	2169541	8.955689430236816
554461	4164169	9.263116836547852
1040228	3702401	9.114663124084473
409362	3060821	9.388948440551758
993398	2475491	8.77457332611084
956298	3129150	9.052595138549805
597015	1764703	8.823397636413574
16337	6264740	9.39232349395752
991006	3674858	9.393270492553711
205786	6392163	8.73023796081543
479580	2948755	9.152536392211914
1034633	5080714	8.885164260864258
1042703	4990697	9.138168334960938
743691	4112052	9.121742248535156
239150	4940778	8.869157791137695
214032	2862048	9.31977653503418
937058	4404629	9.51652717590332
1003791	2875558	8.961747169494629
445615	3833681	9.0125150680542
680809	259389	9.488027572631836
292463	6581938	8.732542037963867
1036325	4978701	8.81515121459961
756565	1918467	9.576919555664062
28830	4106648	8.78652286529541
1058249	3623201	9.36189079284668
626138	6565841	9.202743530273438
551360	1946708	9.256974220275879
415602	6947641	9.144149780273438
169935	6323514	9.205657958984375
1054175	3086729	9.293905258178711
202436	1238622	8.704805374145508
276843	4226926	9.146499633789062
782607	3421836	9.25149917602539
877358	5426652	8.646434783935547
706662	6522475	8.462023735046387
579010	776371	9.097203254699707
286973	3828774	9.117025375366211
30707	1454425	9.108309745788574
332958	4973291	8.965356826782227
642132	6033069	9.406902313232422
1019668	2678257	9.745564460754395
1153757	1229954	9.48320198059082
652003	1060661	9.47921371459961
242598	6806825	9.640323638916016
953807	3889342	9.021090507507324
972356	4331696	8.992774963378906
809641	2737153	9.512656211853027
432605	1922454	9.223965644836426
582187	392827	8.892345428466797
513831	5107067	8.743837356567383
508195	1729565	8.935487747192383
972524	3440664	9.139944076538086
1051979	2904712	8.858579635620117
795502	3959419	8.685920715332031
314739	4311112	9.523628234863281
495648	1830082	8.686448097229004
1046796	4365399	8.821864128112793
885038	601050	8.340779304504395
1056839	4846609	9.126779556274414
1138469	2687544	9.159164428710938
527082	2145784	9.417136192321777
899777	4582326	8.9913330078125
119254	2469642	9.392101287841797
654666	1192268	8.748186111450195
479381	6978730	9.180214881896973
484811	963415	8.777495384216309
449748	472072	9.06664752960205
68155	295342	8.277629852294922
918802	4321099	9.024239540100098
874786	3655637	8.707815170288086
614150	249555	8.744974136352539
1001982	4658220	8.444215774536133
1040588	3373921	8.865706443786621
809260	3418024	9.116254806518555
177931	5423698	8.752147674560547
105481	4371291	8.791467666625977
4963	1192061	9.393263816833496
337755	4420831	9.302115440368652
388537	1253567	8.978104591369629
462226	6177360	9.469690322875977
906818	5363682	9.17809009552002
1142947	2253936	8.73965072631836
1182723	1219064	8.896448135375977
755214	5025107	8.845921516418457
1047024	3496151	8.870481491088867
92454	6408595	9.526100158691406
418790	3059941	9.132092475891113
521089	3444094	9.065791130065918
516064	1583400	9.234175682067871
1032423	5231558	8.99674129486084
651313	977529	8.929290771484375
327516	6082956	9.71273422241211
265525	2446343	8.997371673583984
873276	5092110	9.710431098937988
366368	6404036	9.53762435913086
1032740	589358	8.957916259765625
63519	1356224	8.430630683898926
1030730	4855913	9.358209609985352
135727	6211238	9.101665496826172
166035	6777567	8.487859725952148
888107	3597345	8.864275932312012
375931	5243010	9.069926261901855
810402	206115	9.160747528076172
903236	3810724	9.468050003051758
1036878	3040656	8.878616333007812
530363	4461929	9.201334953308105
770888	6127850	8.998157501220703
166041	3937257	8.987293243408203
952885	3594350	9.816987991333008
933081	3649292	9.055418014526367
649133	5037924	8.522902488708496
174341	203322	9.12565803527832
900742	2713507	9.342870712280273
767762	2415049	9.18155288696289
1172533	1437369	8.842792510986328
903592	2528633	9.893769264221191
792758	2645049	9.34879207611084
726511	393265	9.318428993225098
306482	98407	9.2887601852417
416254	7168480	9.040246963500977
80005	1401792	9.59506607055664
178810	729280	9.284433364868164
421226	2017092	8.990846633911133
449984	2037418	9.40355110168457
442506	229582	8.918423652648926
419434	8286361	9.591475486755371
566748	1895374	9.378808975219727
